iter	Passed	Remaining
0	136	135993
1	265	132560
2	316	105054
3	335	83547
4	397	79189
5	414	68746
6	433	61496
7	449	55739
8	465	51263
9	485	48069
10	504	45396
11	523	43136
12	543	41287
13	562	39605
14	583	38289
15	608	37445
16	627	36292
17	645	35223
18	661	34140
19	676	33168
20	692	32263
21	706	31428
22	758	32225
23	781	31771
24	815	31787
25	848	31768
26	886	31944
27	936	32515
28	955	32002
29	974	31523
30	1007	31502
31	1038	31422
32	1058	31005
33	1075	30544
34	1090	30067
35	1107	29646
36	1123	29243
37	1138	28809
38	1153	28424
39	1170	28082
40	1185	27728
41	1201	27397
42	1217	27093
43	1233	26796
44	1248	26500
45	1266	26258
46	1281	25977
47	1297	25725
48	1311	25456
49	1325	25184
50	1339	24933
51	1355	24718
52	1373	24542
53	1394	24435
54	1415	24327
55	1437	24230
56	1463	24211
57	1486	24146
58	1511	24105
59	1532	24009
60	1558	23994
61	1574	23815
62	1592	23684
63	1609	23532
64	1626	23390
65	1643	23255
66	1661	23139
67	1678	23010
68	1696	22892
69	1713	22765
70	1731	22651
71	1748	22538
72	1766	22428
73	1784	22327
74	1805	22269
75	1820	22133
76	1837	22029
77	1852	21902
78	1867	21771
79	1884	21668
80	1901	21568
81	1915	21445
82	1932	21347
83	1949	21254
84	1965	21158
85	1986	21115
86	2009	21085
87	2027	21013
88	2047	20957
89	2066	20892
90	2085	20832
91	2103	20759
92	2123	20712
93	2140	20629
94	2156	20538
95	2172	20454
96	2188	20373
97	2203	20279
98	2220	20204
99	2234	20108
100	2255	20076
101	2277	20050
102	2295	19990
103	2310	19908
104	2327	19835
105	2342	19758
106	2357	19679
107	2373	19603
108	2388	19524
109	2403	19448
110	2442	19559
111	2495	19789
112	2514	19734
113	2535	19706
114	2563	19728
115	2594	19770
116	2630	19853
117	2669	19950
118	2704	20018
119	2730	20020
120	2754	20011
121	2777	19990
122	2799	19958
123	2820	19925
124	2843	19905
125	2867	19889
126	2886	19844
127	2906	19800
128	2927	19766
129	2946	19716
130	3083	20455
131	3132	20599
132	3153	20557
133	3181	20560
134	3202	20522
135	3226	20498
136	3297	20770
137	3414	21328
138	3494	21645
139	3548	21796
140	3602	21946
141	3670	22180
142	3782	22668
143	3854	22914
144	3965	23384
145	4048	23682
146	4105	23825
147	4168	23995
148	4296	24538
149	4368	24755
150	4414	24823
151	4462	24893
152	4596	25443
153	4735	26015
154	4801	26174
155	4833	26152
156	4877	26191
157	4913	26186
158	4945	26157
159	5012	26315
160	5062	26379
161	5132	26548
162	5189	26648
163	5251	26770
164	5332	26986
165	5398	27123
166	5493	27399
167	5540	27436
168	5600	27537
169	5658	27628
170	5732	27791
171	5781	27831
172	5814	27797
173	5840	27723
174	5867	27660
175	5929	27759
176	5951	27672
177	5977	27604
178	6010	27566
179	6033	27486
180	6056	27406
181	6083	27341
182	6117	27313
183	6215	27565
184	6279	27662
185	6380	27922
186	6434	27974
187	6466	27929
188	6496	27877
189	6568	28001
190	6612	28010
191	6647	27973
192	6676	27914
193	6707	27866
194	6748	27859
195	6784	27829
196	6811	27765
197	6846	27731
198	6891	27740
199	6944	27776
200	7007	27856
201	7066	27917
202	7117	27942
203	7164	27955
204	7210	27962
205	7266	28006
206	7312	28013
207	7363	28036
208	7399	28003
209	7447	28017
210	7504	28062
211	7546	28048
212	7598	28075
213	7653	28110
214	7731	28229
215	7792	28283
216	7833	28265
217	7884	28283
218	8109	28919
219	8208	29103
220	8340	29398
221	8415	29493
222	8541	29760
223	8665	30019
224	8748	30135
225	8798	30133
226	8907	30333
227	8939	30268
228	8974	30214
229	9046	30286
230	9111	30332
231	9230	30555
232	9282	30555
233	9332	30550
234	9378	30530
235	9414	30478
236	9448	30417
237	9560	30610
238	9615	30616
239	9714	30761
240	9764	30751
241	9854	30865
242	9940	30966
243	9995	30969
244	10043	30950
245	10080	30898
246	10109	30820
247	10225	31006
248	10281	31009
249	10397	31193
250	10467	31234
251	10526	31244
252	10593	31277
253	10731	31518
254	10810	31584
255	10868	31586
256	10929	31599
257	10977	31570
258	11022	31536
259	11065	31494
260	11115	31472
261	11170	31463
262	11318	31716
263	11398	31778
264	11436	31721
265	11534	31829
266	11600	31847
267	11663	31856
268	11697	31787
269	11733	31723
270	11768	31658
271	11816	31625
272	11871	31612
273	12031	31878
274	12120	31954
275	12181	31953
276	12227	31914
277	12298	31941
278	12416	32087
279	12518	32191
280	12650	32370
281	12756	32480
282	12918	32728
283	13065	32938
284	13250	33241
285	13452	33585
286	13687	34005
287	13807	34134
288	13881	34151
289	13949	34153
290	14042	34213
291	14138	34281
292	14221	34316
293	14288	34312
294	14367	34334
295	14465	34403
296	14545	34430
297	14620	34441
298	14692	34446
299	14768	34459
300	14842	34467
301	14927	34500
302	15021	34554
303	15072	34508
304	15136	34490
305	15218	34514
306	15260	34448
307	15320	34421
308	15373	34378
309	15425	34335
310	15474	34283
311	15573	34341
312	15627	34300
313	15676	34249
314	15721	34188
315	15777	34150
316	15906	34272
317	16023	34364
318	16073	34312
319	16123	34261
320	16169	34202
321	16225	34164
322	16273	34109
323	16311	34031
324	16355	33968
325	16394	33894
326	16443	33842
327	16477	33758
328	16511	33675
329	16555	33612
330	16588	33528
331	16623	33446
332	16656	33362
333	16685	33271
334	16707	33166
335	16735	33072
336	16769	32991
337	16838	32980
338	16893	32940
339	16936	32876
340	16967	32789
341	16991	32691
342	17016	32595
343	17038	32491
344	17064	32397
345	17090	32303
346	17114	32207
347	17136	32106
348	17158	32006
349	17185	31916
350	17224	31848
351	17272	31797
352	17307	31722
353	17364	31687
354	17389	31595
355	17424	31521
356	17466	31458
357	17504	31390
358	17560	31353
359	17605	31298
360	17750	31419
361	17831	31425
362	17893	31400
363	17980	31416
364	18047	31398
365	18114	31378
366	18163	31328
367	18217	31285
368	18310	31312
369	18376	31290
370	18459	31297
371	18514	31255
372	18578	31230
373	18698	31297
374	18776	31294
375	18857	31295
376	18929	31280
377	18976	31226
378	19050	31214
379	19106	31174
380	19152	31115
381	19189	31044
382	19266	31037
383	19336	31018
384	19380	30959
385	19456	30949
386	19665	31150
387	19722	31107
388	19772	31055
389	19825	31008
390	19892	30983
391	19962	30962
392	20014	30913
393	20226	31109
394	20355	31177
395	20490	31253
396	20609	31302
397	20688	31292
398	20758	31268
399	21009	31513
400	21119	31547
401	21270	31640
402	21374	31663
403	21439	31629
404	21487	31568
405	21565	31550
406	21622	31504
407	21696	31481
408	21774	31463
409	21852	31446
410	21914	31405
411	21969	31354
412	22012	31286
413	22078	31251
414	22153	31228
415	22242	31224
416	22292	31166
417	22455	31266
418	22524	31233
419	22646	31273
420	22725	31254
421	22820	31256
422	22894	31229
423	22966	31199
424	23000	31118
425	23036	31040
426	23076	30966
427	23107	30881
428	23142	30802
429	23178	30724
430	23212	30644
431	23239	30556
432	23276	30479
433	23309	30399
434	23347	30324
435	23420	30295
436	23543	30331
437	23637	30329
438	23735	30331
439	23792	30281
440	23848	30230
441	23919	30196
442	23974	30144
443	24058	30127
444	24122	30085
445	24209	30071
446	24244	29993
447	24342	29992
448	24406	29951
449	24467	29905
450	24519	29847
451	24574	29794
452	24650	29765
453	24696	29700
454	24796	29700
455	24840	29634
456	24887	29570
457	24928	29500
458	24977	29439
459	25011	29360
460	25038	29275
461	25070	29194
462	25126	29142
463	25172	29078
464	25226	29023
465	25260	28946
466	25292	28867
467	25340	28805
468	25384	28740
469	25437	28685
470	25474	28611
471	25505	28531
472	25534	28449
473	25565	28369
474	25588	28282
475	25655	28242
476	25723	28204
477	25785	28159
478	25828	28093
479	25867	28022
480	25908	27954
481	25952	27890
482	26014	27846
483	26072	27796
484	26134	27750
485	26209	27719
486	26275	27678
487	26321	27616
488	26383	27570
489	26498	27580
490	26624	27600
491	26719	27588
492	26774	27534
493	26831	27483
494	26890	27433
495	26974	27409
496	27122	27449
497	27204	27423
498	27256	27365
499	27323	27323
500	27373	27263
501	27450	27232
502	27502	27174
503	27567	27130
504	27649	27102
505	27756	27098
506	27835	27067
507	27902	27023
508	27944	26956
509	28103	27000
510	28203	26989
511	28295	26969
512	28392	26953
513	28485	26934
514	28590	26925
515	28660	26883
516	28708	26820
517	28877	26870
518	28938	26819
519	28994	26764
520	29090	26745
521	29179	26720
522	29257	26684
523	29353	26664
524	29455	26650
525	29552	26631
526	29640	26603
527	29744	26590
528	29829	26558
529	29930	26541
530	29995	26492
531	30071	26453
532	30125	26394
533	30181	26338
534	30250	26292
535	30309	26237
536	30358	26175
537	30441	26141
538	30489	26077
539	30554	26028
540	30607	25968
541	30645	25895
542	30687	25827
543	30725	25754
544	30766	25686
545	30799	25610
546	30826	25528
547	30853	25448
548	30894	25379
549	30925	25302
550	30956	25226
551	30989	25150
552	31021	25075
553	31051	24998
554	31085	24924
555	31138	24866
556	31197	24812
557	31237	24743
558	31281	24678
559	31321	24609
560	31349	24532
561	31387	24462
562	31426	24392
563	31498	24349
564	31551	24291
565	31617	24244
566	31672	24187
567	31721	24126
568	31763	24059
569	31792	23983
570	31836	23919
571	31866	23843
572	31900	23772
573	31930	23697
574	31963	23625
575	31988	23546
576	32015	23470
577	32042	23394
